Cellar or Fridge Name,Wine Name,Vintage,Wine Type,Grapes,Producer,Country,Region,Subregion,Size,Quantity,Average Market Price (USD),Total Market Price (USD),Average Purchase Price (USD),Total Purchase Price (USD),Drink Window,Tags
Inventory,Heitz Cellar Napa Valley Cabernet Sauvignon,2019,red,"Tempranillo, Merlot, Zinfandel, Cabernet Sauvignon, Syrah/Shiraz",Heitz Cellar,United States,California,Napa Valley,750ml,1,77.96,77.96,61.99,61.99,2025-2038,
Inventory,Il Poggiolo Rodolfo Cosimi Bramante Cosimi Brunello di Montalcino,2021,red,Sangiovese,Il Poggiolo Rodolfo Cosimi,Italy,Tuscany,Brunello di Montalcino,750ml,1,,,,,2028-2046,
Inventory,Jean-Baptiste Duperray Glou Glou Gamay,2024,red,Gamay,Domaine J-B Duperray,France,Beaujolais,,750ml,1,,,,,2025-2027,
Inventory,Jolie Laide Las Cimas Aligoté,2023,white,Aligoté,Jolie Laide,United States,California,Sonoma County,750ml,1,40.59,40.59,,,2024-2028,
Inventory,Kirkland Signature Barolo,2020,red,Nebbiolo,Ethica Wines,Italy,Piedmont,Barolo,750ml,1,,,,,2028-2038,
Inventory,Kirkland Signature Gigondas,2022,red,Syrah/Shiraz,Kirkland,France,Rhone,Gigondas,750ml,1,13.99,13.99,13.79,13.79,2024-2028,
Inventory,Kirkland Signature Saint-Emilion Grand Cru,2023,red,"Merlot, Cabernet Sauvignon, Cabernet Franc",Kirkland,France,Bordeaux,Saint-Emilion Grand Cru,750ml,1,,,,,2026-2038,
Inventory,Kirkland Signature Suscol Vineyard Napa Valley Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Kirkland,United States,California,Napa Valley,750ml,1,,,18.00,18.00,2024-2029,
Inventory,Kirkland Vacqueyras,2022,red,"Grenache Noir, Grenache, Syrah/Shiraz, Mourvèdre",Kirkland,France,Rhone,Vacqueyras,750ml,1,,,10.00,10.00,2024-2030,
Inventory,La Bastide Blanche Bandol Rouge,2023,red,"Cinsault, Carignan, Grenache, Syrah/Shiraz, Mourvèdre",La Bastide Blanche,France,Provence,Bandol,750ml,1,,,24.00,24.00,2027-2043,
Inventory,Le Strette Corini - Pallaretta Barolo,2019,red,Nebbiolo,Le Strette,Italy,Piedmont,Barolo,750ml,1,75.23,75.23,,,2027-2040,
Inventory,Lightwell Survey The Weird Ones are Wolves Red,2019,red,"Riesling, Petit Manseng, Cabernet Franc, Syrah/Shiraz",Early Mountain Vineyards,United States,,,750ml,1,,,,,2022-2029,
Inventory,Lukas van Loggerenberg High Hopes Swartland Red Blend,2023,red,"Cinsault, Grenache Noir, Syrah/Shiraz",Lukas Van Loggerenberg Wines,South Africa,Coastal Region,,750ml,1,,,,,2025-2030,
Inventory,Matt Morris Heritage Blend,2022,red,"Malbec, Charbono, Petite Sirah",Matt Morris Charbono,United States,California,Napa Valley,750ml,2,,,,,2025-2032,
Inventory,Maxime Maignez Tempérance Condrieu,2023,white,Viognier,Domaine Maxime Maignez,France,Rhone,Condrieu,750ml,1,,,0.00,0.00,2025-2031,
Inventory,Mosse Le Rouchefer Anjou Blanc,2022,white,Chenin Blanc,Domaine Mosse,France,Loire,Anjou,750ml,1,41.40,41.40,,,2024-2030,
Inventory,Mount Eden Vineyards Domaine Eden Cabernet Sauvignon,2020,red,Cabernet Sauvignon,Mount Eden Vineyards,United States,California,Santa Cruz Mountains,750ml,1,61.10,61.10,,,2025-2034,
Inventory,Notre Dame des Pallières Sablet L'Olivet,2023,red,"Grenache Noir, Syrah/Shiraz",Notre Dame des Pallières,France,,,750ml,1,18.32,18.32,,,2025-2028,
Inventory,Peake Ranch John Sebastiano Vineyard Pinot Noir,2022,red,Pinot Noir,Peake Ranch,United States,California,Sta. Rita Hills,750ml,1,62.65,62.65,,,2024-2030,
Inventory,Prieuré Saint-Côme Chablis Premier Cru,2025,white,Chardonnay,Prieuré Saint-Côme,France,Burgundy,Chablis,750ml,1,,,,,2027-2037,
Inventory,Quinta de La Rosa Vale do Inferno,2021,red,Souzao,Quinta de La Rosa,Portugal,Douro,,750ml,1,64.75,64.75,,,2023-2031,Gift
Inventory,Ridge Belloni Vineyard Zinfandel,2024,red,"Mataro, Zinfandel, Petite Sirah, Alicante Bouschet, Carignane",Ridge Vineyards,United States,California,Sonoma County,750ml,1,,,,,2026-2034,
Inventory,Ridge Estate Cabernet Sauvignon,2023,red,"Merlot, Petit Verdot, Cabernet Sauvignon",Ridge Vineyards,United States,California,Santa Cruz Mountains,750ml,1,106.00,106.00,,,2030-2045,
Inventory,Ridge Frediani Ranch,2023,red,"Duras, Charbono, Carignan, Petite Sirah",Ridge Vineyards,United States,California,Calistoga,750ml,1,,,,,2025-2036,
Inventory,Ridge Geyserville,2023,red,"Carignan, Zinfandel, Petite Sirah, Alicante Bouschet, Carignane",Ridge Vineyards,United States,California,Alexander Valley,1.5L,1,129.00,129.00,,,2028-2040,
